PR,T_hot_C,hot_fluid,orc_size_MW,bc_type,orc_fluid,eta_br_%,W_br_kW,T_exh_br_C,T_bot_in_C,Q_avail_kW,eta_bot_%,W_bot_kW,eta_comb_%,W_comb_kW,gain_pp
4.4373,800,Air,2.0,ORC_R245fa,Toluène,30.989358591122183,110.76699225144256,255.74898937860291,254.09777748667557,243.85808589500027,24.04027841909829,36.609424961862146,41.23160291768645,147.3764172133047,10.242244326564265
4.4373,800,Air,5.0,ORC_R245fa,Toluène,30.989358591122183,110.76699225144256,255.74898937860291,254.09777748667557,243.85808589500027,25.99745198785277,39.43505084472772,42.02213023948738,150.20204309617029,11.032771648365197
4.4373,850,Air,1.0,ORC_R245fa,Toluène,33.234210645053444,125.81269635938799,261.61941961436116,259.9282433249698,249.94106404962625,22.296591282214393,35.20101106243387,42.532777883657005,161.01370742182186,9.298567238603567
4.4373,850,Air,2.0,ORC_R245fa,Toluène,33.234210645053444,125.81269635938799,261.61941961436116,259.9282433249698,249.94106404962625,24.366856424739737,38.04285458822809,43.28346862544619,163.85555094761608,10.04925798039275
4.4373,850,Air,5.0,ORC_R245fa,Toluène,33.234210645053444,125.81269635938799,261.61941961436116,259.9282433249698,249.94106404962625,26.35339095250438,40.97464442247824,44.05791924718764,166.78734078186622,10.823708602134197
4.4373,900,Air,1.0,ORC_R245fa,Toluène,35.23853874264066,140.87005023197895,267.53844772667765,265.80697619782654,256.0816662923822,22.584394734617376,36.55322237449866,44.38230024972445,177.4232726064776,9.143761507083797
4.4373,900,Air,2.0,ORC_R245fa,Toluène,35.23853874264066,140.87005023197895,267.53844772667765,265.80697619782654,256.0816662923822,24.682001850531314,39.503717734629724,45.120364479038955,180.37376796660868,9.881825736398298
4.4373,900,Air,5.0,ORC_R245fa,Toluène,35.23853874264066,140.87005023197895,267.53844772667765,265.80697619782654,256.0816662923822,26.6972635697039,42.54544343270588,45.881249909828774,183.41549366468485,10.642711167188118
4.4373,950,Air,1.0,ORC_R245fa,Toluène,37.037531797611365,155.93612524674012,273.5026662559021,271.7305918427154,262.2766288174965,22.860794564857578,37.92883080198076,46.04628634151043,193.86495604872087,9.00875454389906
4.4373,950,Air,2.0,ORC_R245fa,Toluène,37.037531797611365,155.93612524674012,273.5026662559021,271.7305918427154,262.2766288174965,24.98490800494975,40.99209526694808,46.7738647319969,196.9282205136882,9.736332934385533
4.4373,950,Air,5.0,ORC_R245fa,Toluène,37.037531797611365,155.93612524674012,273.5026662559021,271.7305918427154,262.2766288174965,27.028116855346298,44.14781541555841,47.52340294941494,200.08394066229852,10.485871151803572
4.4373,1000,Air,1.0,ORC_R245fa,Toluène,38.65997776479556,171.0085871136048,279.50881532936694,277.69585257935296,268.52281588791067,23.12506146048858,39.32779277373142,47.55082716501253,210.3363798873362,8.890849400216966
4.4373,1000,Air,2.0,ORC_R245fa,Toluène,38.65997776479556,171.0085871136048,279.50881532936694,277.69585257935296,268.52281588791067,25.274674813924058,42.508268223716655,48.26983848633421,213.51685533732143,9.609860721538649
4.4373,1000,Air,5.0,ORC_R245fa,Toluène,38.65997776479556,171.0085871136048,279.50881532936694,277.69585257935296,268.52281588791067,27.344878324022076,45.78237425324135,49.010016909169316,216.79096136684615,10.350039144373756
4.8853,600,Air,1.0,ORC_R245fa,Toluène,16.774714727352766,47.32597801887448,244.27448203169604,242.70138567030017,231.98848696971265,21.377139682559807,31.31088409188317,27.872872028889695,78.63686211075765,11.09815730153693
4.8853,600,Air,2.0,ORC_R245fa,Toluène,16.774714727352766,47.32597801887448,244.27448203169604,242.70138567030017,231.98848696971265,23.362262187498267,33.85065133953225,28.77309370072067,81.17662935840673,11.998378973367904
4.8853,600,Air,5.0,ORC_R245fa,Toluène,16.774714727352766,47.32597801887448,244.27448203169604,242.70138567030017,231.98848696971265,25.259863556312705,36.47612135024663,29.703692756431447,83.80209936912111,12.928978029078683
4.8853,650,Air,1.0,ORC_R245fa,Toluène,20.77508122813366,63.06404054366294,249.77987202799,248.1692963703298,237.68010773156908,21.68120290158761,32.53404393829343,31.492716820000815,95.59808448195636,10.717635591867156
4.8853,650,Air,2.0,ORC_R245fa,Toluène,20.77508122813366,63.06404054366294,249.77987202799,248.1692963703298,237.68010773156908,23.694086038098312,35.16726601971529,32.360174758972846,98.23130656337824,11.585093530839188
4.8853,650,Air,5.0,ORC_R245fa,Toluène,20.77508122813366,63.06404054366294,249.77987202799,248.1692963703298,237.68010773156908,25.620606881563273,37.887624104771014,33.25633776564721,100.95166464843396,12.481256537513548
4.8853,700,Air,1.0,ORC_R245fa,Toluène,24.250908240418,78.83746185390856,255.34688253956415,253.69840808882816,243.44168037747755,21.977121671964532,33.78183999602858,34.64241860454264,112.61930184993714,10.39151036412464
4.8853,700,Air,2.0,ORC_R245fa,Toluène,24.250908240418,78.83746185390856,255.34688253956415,253.69840808882816,243.44168037747755,24.017403059345458,36.51179144377661,35.48216915590887,115.34925329768518,11.231260915490871
4.8853,700,Air,5.0,ORC_R245fa,Toluène,24.250908240418,78.83746185390856,255.34688253956415,253.69840808882816,243.44168037747755,25.972536093172167,39.33024371755039,36.3491431282311,118.16770557145895,12.098234887813097
4.8853,750,Air,1.0,ORC_R245fa,Toluène,27.295564166168074,94.63941308034254,260.97236269729274,259.2855914069861,249.27022925366637,22.2643222393276,35.05396059479835,37.40570326732006,129.6933736751409,10.110139101151983
4.8853,750,Air,2.0,ORC_R245fa,Toluène,27.295564166168074,94.63941308034254,260.97236269729274,259.2855914069861,249.27022925366637,24.33154052882293,37.88411182113853,38.22196545538907,132.52352490148107,10.926401289220994
4.8853,750,Air,5.0,ORC_R245fa,Toluène,27.295564166168074,94.63941308034254,260.97236269729274,259.2855914069861,249.27022925366637,26.314879538918994,40.804064462738,39.064127849436126,135.44347754308052,11.768563683268052
4.8853,800,Air,1.0,ORC_R245fa,Toluène,29.981761674833223,110.46401900634629,266.6529684368479,264.92752502601616,255.16257178911707,22.542189693042108,36.35011928226032,39.84778522689932,146.8141382886066,9.866023552066094
4.8853,800,Air,2.0,ORC_R245fa,Toluène,29.981761674833223,110.46401900634629,266.6529684368479,264.92752502601616,255.16257178911707,24.635769326756428,39.284160657614,40.64413258100835,149.7481796639603,10.662370906175124
4.8853,800,Air,5.0,ORC_R245fa,Toluène,29.981761674833223,110.46401900634629,266.6529684368479,264.92752502601616,255.16257178911707,26.64679346603615,42.30924483144938,41.46519045634268,152.77326383779567,11.483428781509458
4.8853,850,Air,1.0,ORC_R245fa,Toluène,32.366973003995895,126.30633254099388,272.385280074255,270.62081254228315,261.11543766016433,22.810062058457966,37.670096814029854,42.02022618702131,163.97642935502373,9.653253183025418
4.8853,850,Air,2.0,ORC_R245fa,Toluène,32.366973003995895,126.30633254099388,272.385280074255,270.62081254228315,261.11543766016433,24.929295071069536,40.71196926468598,42.79972949070587,167.01830180567987,10.432756486709982
4.8853,850,Air,5.0,ORC_R245fa,Toluène,32.366973003995895,126.30633254099388,272.385280074255,270.62081254228315,261.11543766016433,26.9673502015879,43.84607259840731,43.60286767034835,170.1524051394012,11.235894666352465
4.8853,900,Air,1.0,ORC_R245fa,Toluène,34.49721716407347,142.16226304212205,278.1659044373847,276.36208388351145,267.12556264010385,23.067218642022556,39.013780869336856,43.96433482413995,181.17604391145892,9.467117660066476
4.8853,900,Air,2.0,ORC_R245fa,Toluène,34.49721716407347,142.16226304212205,278.1659044373847,276.36208388351145,267.12556264010385,25.21124228370329,42.16771360860433,44.72967085846541,184.3299766507264,10.23245369439194
4.8853,900,Air,5.0,ORC_R245fa,Toluène,34.49721716407347,142.16226304212205,278.1659044373847,276.36208388351145,267.12556264010385,27.275518162390846,45.41501882813421,45.5176647392533,187.57728187025626,11.020447575179832
4.8853,950,Air,1.0,ORC_R245fa,Toluène,36.409764627249956,158.02848107754863,283.9915335966566,282.1480536396649,273.1897536672221,23.312860486592015,40.38120250228347,45.713594344830796,198.40968357983212,9.303829717580841
4.8853,950,Air,2.0,ORC_R245fa,Toluène,36.409764627249956,158.02848107754863,283.9915335966566,282.1480536396649,273.1897536672221,25.480629002939846,43.65175840012921,46.467130477234626,201.68023947767784,10.057365849984667
4.8853,950,Air,5.0,ORC_R245fa,Toluène,36.409764627249956,158.02848107754863,283.9915335966566,282.1480536396649,273.1897536672221,27.570130685545713,47.0167895634754,47.24243371235635,205.04527064102405,10.832669085106394
4.8853,1000,Air,1.0,ORC_R245fa,Toluène,38.13510758058866,173.90231590727365,289.8589818003629,287.9755577468237,279.30493398443633,23.546082872545053,41.77257033288718,47.29543103718807,215.67488624016082,9.160323456599407
4.8853,1000,Air,2.0,ORC_R245fa,Toluène,38.13510758058866,173.90231590727365,289.8589818003629,287.9755577468237,279.30493398443633,25.73633153333538,45.16469902075185,48.03929227770137,219.0670149280255,9.904184697112706
4.8853,1000,Air,5.0,ORC_R245fa,Toluène,38.13510758058866,173.90231590727365,289.8589818003629,287.9755577468237,279.30493398443633,27.84984319080791,48.65237533614566,48.80410619521546,222.5546912434193,10.668998614626796
5.0,600,Air,1.0,ORC_R245fa,Toluène,16.32231205781522,46.36977783753446,247.09732526543837,245.50501170454606,234.90605591290992,21.534464094366953,31.936703854517418,27.564135303936272,78.30648169205188,11.241823246121049
5.0,600,Air,2.0,ORC_R245fa,Toluène,16.32231205781522,46.36977783753446,247.09732526543837,245.50501170454606,234.90605591290992,23.533900036108786,34.52412543045462,28.474916083079567,80.89390326798907,12.152604025264344
5.0,600,Air,5.0,ORC_R245fa,Toluène,16.32231205781522,46.36977783753446,247.09732526543837,245.50501170454606,234.90605591290992,25.44640382618109,37.19799547649258,29.41612700383038,83.56777331402704,13.093814946015156
5.0,650,Air,1.0,ORC_R245fa,Toluène,20.379234635421206,62.293883740791046,252.57039023123139,250.94081743466893,240.56736188912427,21.830987341831264,33.15813757015488,31.22680786472169,95.45202131094592,10.847573229300483
5.0,650,Air,2.0,ORC_R245fa,Toluène,20.379234635421206,62.293883740791046,252.57039023123139,250.94081743466893,240.56736188912427,23.85769224718926,35.83955562099533,32.10402476519805,98.13343936178637,11.72479012977684
5.0,650,Air,5.0,ORC_R245fa,Toluène,20.379234635421206,62.293883740791046,252.57039023123139,250.94081743466893,240.56736188912427,25.798638096311116,38.60880395663303,33.00997504806275,100.90268769742408,12.630740412641545
5.0,700,Air,1.0,ORC_R245fa,Toluène,23.904366888243374,78.25441689846554,258.104886748165,256.4376365055409,246.29842611270945,22.119416734619094,34.40410775590027,34.41378535757742,112.6585246543658,10.509418469334038
5.0,700,Air,2.0,ORC_R245fa,Toluène,23.904366888243374,78.25441689846554,258.104886748165,256.4376365055409,246.29842611270945,24.17300284532661,37.18286394149851,35.26261166011956,115.43728083996405,11.358244771876189
5.0,700,Air,5.0,ORC_R245fa,Toluène,23.904366888243374,78.25441689846554,258.104886748165,256.4376365055409,246.29842611270945,26.142057519246887,40.05076796971088,36.13866994293329,118.30518486817641,12.234303054689919
5.0,750,Air,1.0,ORC_R245fa,Toluène,26.992368268998934,94.24438406456545,263.6976961368558,261.99237146895575,252.09630296225112,22.399163035922406,35.67434425340357,37.20979445731402,129.91872831796903,10.217426188315082
5.0,750,Air,2.0,ORC_R245fa,Toluène,26.992368268998934,94.24438406456545,263.6976961368558,261.99237146895575,252.09630296225112,24.479138957730946,38.5539846541142,38.03454719934497,132.79836871867965,11.042178930346036
5.0,750,Air,5.0,ORC_R245fa,Toluène,26.992368268998934,94.24438406456545,263.6976961368558,261.99237146895575,252.09630296225112,26.47586546998274,41.524030542082336,38.88519281796283,135.76841460664778,11.892824548963898
5.0,800,Air,1.0,ORC_R245fa,Toluène,29.716953019856245,110.25775952453546,269.3455025034194,267.60172900479165,257.95783567907245,22.669591315631422,36.96860593529128,39.68082613432999,147.22636545982675,9.963873114473747
5.0,800,Air,2.0,ORC_R245fa,Toluène,29.716953019856245,110.25775952453546,269.3455025034194,267.60172900479165,257.95783567907245,24.775345600314537,39.952906494157986,40.48516244487544,150.21066601869344,10.768209425019194
5.0,800,Air,5.0,ORC_R245fa,Toluène,29.716953019856245,110.25775952453546,269.3455025034194,267.60172900479165,257.95783567907245,26.799186334472573,43.02881544529892,41.31418928333636,153.28657496983436,11.597236263480115
5.0,850,Air,1.0,ORC_R245fa,Toluène,32.13638393888855,126.28946155715681,275.04491707448267,273.2623434095839,263.879778401728,22.93001417187199,38.28672393862771,41.87905640801706,164.57618549578453,9.742672469128511
5.0,850,Air,2.0,ORC_R245fa,Toluène,32.13638393888855,126.28946155715681,275.04491707448267,273.2623434095839,263.879778401728,25.060795633727718,41.37972272011258,42.66611967631142,167.66918427726938,10.529735737422873
5.0,850,Air,5.0,ORC_R245fa,Toluène,32.13638393888855,126.28946155715681,275.04491707448267,273.2623434095839,263.879778401728,27.111052210633126,44.56548410374583,43.47678788013291,170.85494566090264,11.340403941244364
5.0,900,Air,1.0,ORC_R245fa,Toluène,34.297311661505866,142.33528203019506,280.79257394624096,278.9708716937457,269.8588868251346,23.179678238428448,39.62864123369716,43.84628532234269,181.9639232638922,9.548973660836824
5.0,900,Air,2.0,ORC_R245fa,Toluène,34.297311661505866,142.33528203019506,280.79257394624096,278.9708716937457,269.8588868251346,25.334571626469643,42.834677984015634,44.61881648998802,185.1699600142107,10.321504828482158
5.0,900,Air,5.0,ORC_R245fa,Toluène,34.297311661505866,142.33528203019506,280.79257394624096,278.9708716937457,269.8588868251346,27.410380163025238,46.134589775952655,45.41396792095602,188.46987180614772,11.116656259450153
5.0,950,Air,1.0,ORC_R245fa,Toluène,36.2375183060256,158.39179137100018,286.58518559796744,284.7240487171557,275.891985837983,23.41774261768155,40.994449961229414,45.61639531762487,199.3862413322296,9.378877011599268
5.0,950,Air,2.0,ORC_R245fa,Toluène,36.2375183060256,158.39179137100018,286.58518559796744,284.7240487171557,275.891985837983,25.59563789691962,44.318213406730514,46.376819438462846,202.7100047777307,10.139301132437245
5.0,950,Air,5.0,ORC_R245fa,Toluène,36.2375183060256,158.39179137100018,286.58518559796744,284.7240487171557,275.891985837983,27.695937967693208,47.736930292033186,47.15896739349227,206.12872166303336,10.921449087466668
5.0,1000,Air,1.0,ORC_R245fa,Toluène,37.987914505266005,174.45623482802932,292.4195835067027,290.51872752735414,281.97601354884495,23.643249149538573,42.384424905891066,47.217139882433024,216.8406597339204,9.229225377167023
5.0,1000,Air,2.0,ORC_R245fa,Toluène,37.987914505266005,174.45623482802932,292.4195835067027,290.51872752735414,281.97601354884495,25.842802434308247,45.831007351527454,47.96763458048293,220.28724217955678,9.979720075216925
5.0,1000,Air,5.0,ORC_R245fa,Toluène,37.987914505266005,174.45623482802932,292.4195835067027,290.51872752735414,281.97601354884495,27.966297924413684,49.37359590159527,48.739034645949026,223.8298307296246,10.751120140683025
